Column1
"(1, 0.2086901135355123)"
"(6, 0.1841132015828834)"
"(11, 0.17832376398704947)"
"(16, 0.17554322115052426)"
"(21, 0.17374939639052858)"
"(26, 0.17262325267612888)"
"(31, 0.17187921612218632)"
"(36, 0.17119250827651644)"
"(41, 0.17068076119595427)"
"(46, 0.17023756968200596)"
"(51, 0.1698741637649461)"
"(56, 0.16956199846487596)"
"(61, 0.16931622416147946)"
"(66, 0.16896928822211757)"
"(71, 0.16875146645756134)"
"(76, 0.1686430258162377)"
"(81, 0.1685167397852309)"
"(86, 0.16837141369850078)"
"(91, 0.16826835161908257)"
"(96, 0.1682834927920792)"
"(101, 0.16825584773979008)"
"(106, 0.1680760040140839)"
"(111, 0.1679699442265269)"
"(116, 0.1678621892389954)"
"(121, 0.16784950491952572)"
"(126, 0.16784941947166576)"
"(131, 0.16790697699836535)"
"(136, 0.16788655789276122)"
"(141, 0.167819621072612)"
"(146, 0.16775085636086737)"
