Column1
"(1, 0.010683760768622274)"
"(6, 0.006706723893952379)"
"(11, 0.005984869020454694)"
"(16, 0.006387538901726415)"
"(21, 0.006544982181810116)"
"(26, 0.006622081282409259)"
"(31, 0.0067485672819913795)"
"(36, 0.006742333530818022)"
"(41, 0.006995215914579397)"
"(46, 0.006878514887116293)"
"(51, 0.006845895243894232)"
"(56, 0.006833903046092291)"
"(61, 0.006846374719365256)"
"(66, 0.006819332816402801)"
"(71, 0.007111209250729435)"
"(76, 0.007131935165577257)"
"(81, 0.007164216623631188)"
"(86, 0.0071307063956207685)"
"(91, 0.0070809353262216755)"
"(96, 0.00703637273860174)"
"(101, 0.007026762840346928)"
"(106, 0.0069779862742926115)"
"(111, 0.007024282699912294)"
"(116, 0.0069890526028972165)"
"(121, 0.007008023494753939)"
"(126, 0.007057516597012167)"
"(131, 0.007072996385167061)"
"(136, 0.007113192950816356)"
"(141, 0.007100904996341554)"
"(146, 0.007071009284505609)"
