Column1
"(1, 0.008932731812390834)"
"(6, 0.006004347193520426)"
"(11, 0.005875257582694283)"
"(16, 0.007276991251353709)"
"(21, 0.007142367066407751)"
"(26, 0.006857569893041657)"
"(31, 0.006827320918095245)"
"(36, 0.006945482672594207)"
"(41, 0.00692419225828088)"
"(46, 0.006331599342142499)"
"(51, 0.005471027592874024)"
"(56, 0.0053535729719972665)"
"(61, 0.0057044776176305495)"
"(66, 0.0058696207816721704)"
"(71, 0.0061631277384716675)"
"(76, 0.007580819974073729)"
"(81, 0.008060540403352943)"
"(86, 0.00854478366279459)"
"(91, 0.008442671420811941)"
"(96, 0.008226835964891342)"
"(101, 0.008022624104353629)"
"(106, 0.008047364836207141)"
"(111, 0.005677331605452897)"
"(116, 0.0062422319533549315)"
"(121, 0.006885717752285383)"
"(126, 0.00414776383375226)"
"(131, 0.00597266989906619)"
"(136, 0.0074004292279917835)"
"(141, 0.009328775515579908)"
"(146, 0.008673658803132221)"
