Column1
"(1, 0.018225109058263855)"
"(6, 0.0043945883066698116)"
"(11, 0.0028763647270264076)"
"(16, 0.004501038274685375)"
"(21, 0.005797537359366908)"
"(26, 0.004632863998322842)"
"(31, 0.00442307537212457)"
"(36, 0.003840815870324853)"
"(41, 0.004647532250041934)"
"(46, 0.005364275821912896)"
"(51, 0.005509008318992226)"
"(56, 0.005121732770365593)"
"(61, 0.004624684479244983)"
"(66, 0.006117376991637651)"
"(71, 0.00635856983387175)"
"(76, 0.007690954758204875)"
"(81, 0.00822229644259222)"
"(86, 0.0071080715307643315)"
"(91, 0.006204849754472743)"
"(96, 0.006155885566727918)"
"(101, 0.006410990099187491)"
"(106, 0.005545433114138697)"
"(111, 0.005659636339924773)"
"(116, 0.00524713040652888)"
"(121, 0.0050337751570842856)"
"(126, 0.0039753532689988675)"
"(131, 0.004600886820086076)"
"(136, 0.0046942956348546335)"
"(141, 0.004437498783673337)"
"(146, 0.017699224715208153)"
