Column1
"(1, 0.21441477145336396)"
"(6, 0.19587033964951955)"
"(11, 0.19195446328199167)"
"(16, 0.18985360167399123)"
"(21, 0.18807244899674522)"
"(26, 0.18726854951644256)"
"(31, 0.1874828963523333)"
"(36, 0.18716021064283275)"
"(41, 0.18695288304882107)"
"(46, 0.18657842522034412)"
"(51, 0.18651486761924704)"
"(56, 0.1861188314493735)"
"(61, 0.18596850830438824)"
"(66, 0.18606234515935266)"
"(71, 0.18592638027397573)"
"(76, 0.1859367307080464)"
"(81, 0.18608904813408816)"
"(86, 0.1860096431078745)"
"(91, 0.185951650741624)"
"(96, 0.18603034679191202)"
"(101, 0.1858680895864146)"
"(106, 0.1858697047717822)"
"(111, 0.18590402358033095)"
"(116, 0.18596116450480532)"
"(121, 0.1860033248995811)"
"(126, 0.1861016462791521)"
"(131, 0.18632070625273178)"
"(136, 0.18639946448185776)"
"(141, 0.18632431327167115)"
"(146, 0.18634118083530576)"
