Column1
"(1, 0.008401953351907694)"
"(6, 0.009756838280052206)"
"(11, 0.008430648948600662)"
"(16, 0.008566416099864495)"
"(21, 0.008972515183206763)"
"(26, 0.00905211191436784)"
"(31, 0.00890082985008176)"
"(36, 0.009137849211212273)"
"(41, 0.00976486294544015)"
"(46, 0.009660612274989027)"
"(51, 0.010299724322497116)"
"(56, 0.010320673968465987)"
"(61, 0.0101960405894982)"
"(66, 0.010253977792993753)"
"(71, 0.010334624786570552)"
"(76, 0.010337976908011661)"
"(81, 0.010396420211085573)"
"(86, 0.010262849122154161)"
"(91, 0.010523040148485553)"
"(96, 0.01047074999611954)"
"(101, 0.010525295255435978)"
"(106, 0.010384331504423956)"
"(111, 0.010404569650572194)"
"(116, 0.010314227595139601)"
"(121, 0.010465042907195467)"
"(126, 0.01051742284863639)"
"(131, 0.010540808782600844)"
"(136, 0.010709556650305496)"
"(141, 0.01070882383222424)"
"(146, 0.010666412909665418)"
