Column1
"(1, 0.21441477145336396)"
"(6, 0.1960044338646572)"
"(11, 0.1919575676309751)"
"(16, 0.1898195107444745)"
"(21, 0.18805803846401117)"
"(26, 0.18713652807087355)"
"(31, 0.1871823641388755)"
"(36, 0.18680638824998125)"
"(41, 0.1865426683593343)"
"(46, 0.18619000671224323)"
"(51, 0.18612322193593403)"
"(56, 0.18577268715984488)"
"(61, 0.1855956096610797)"
"(66, 0.1855748932783893)"
"(71, 0.18538754024703613)"
"(76, 0.185335766535682)"
"(81, 0.18540236523130713)"
"(86, 0.18532053452563696)"
"(91, 0.18525766681647243)"
"(96, 0.18528334377450117)"
"(101, 0.18514605237869514)"
"(106, 0.18509276017786147)"
"(111, 0.18510670550257807)"
"(116, 0.18509427676665818)"
"(121, 0.18512656080224574)"
"(126, 0.1851758605427278)"
"(131, 0.18532961174398188)"
"(136, 0.18540108020766274)"
"(141, 0.18532089572994942)"
"(146, 0.18528438556239718)"
