Column1
"(1, 0.008401953351907694)"
"(6, 0.00972767148023161)"
"(11, 0.008488061537501057)"
"(16, 0.008594871919977291)"
"(21, 0.008863209158533222)"
"(26, 0.008947696225667375)"
"(31, 0.008863484660951269)"
"(36, 0.009056105292415458)"
"(41, 0.00957445426528117)"
"(46, 0.009497886378171541)"
"(51, 0.010005094962505017)"
"(56, 0.009976715240413582)"
"(61, 0.009897081329245345)"
"(66, 0.009927732196665798)"
"(71, 0.010021859929226192)"
"(76, 0.010035675376194103)"
"(81, 0.01006600181033582)"
"(86, 0.009933742802284064)"
"(91, 0.01012547586089906)"
"(96, 0.010075111898329442)"
"(101, 0.010067603360346171)"
"(106, 0.009970557647628539)"
"(111, 0.010036440723310981)"
"(116, 0.010008692257410218)"
"(121, 0.010081638223804071)"
"(126, 0.010107191443441091)"
"(131, 0.010120526313925859)"
"(136, 0.010213901680797468)"
"(141, 0.010229306794746939)"
"(146, 0.010198756729259116)"
